epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.113,1.91988,3.69466,1.90441,0.00192,0.28344,0.00317,0.00059,3.44226,331.346,22.0798,0.00323232,0.00323232,0.0709091
2,261.141,2.30575,3.62575,2.20416,0,0,0,0,3.76547,41705.3,70.0713,0.00656405,0.00656405,0.0409075
3,370.14,2.30585,3.61568,2.18602,2e-05,0.03125,0,0,3.98712,43796.5,24.3756,0.00988932,0.00988932,0.0108994
4,485.677,2.28494,3.47188,2.134,0.39648,0.04477,0.00878,0.00228,3.08278,667.494,5.52616,0.00997803,0.00997803,0.00997803
5,599.514,2.16637,3.42538,2.09421,0.15461,0.24346,0.04371,0.01202,2.78857,102.154,3.4926,0.00996097,0.00996097,0.00996097
6,694.117,2.14822,3.32329,2.07993,0.26816,0.13981,0.02919,0.01091,2.38554,41.7619,2.74623,0.00993906,0.00993906,0.00993906
7,839.429,2.13589,3.14075,2.04388,0.13257,0.2539,0.01067,0.00227,2.79036,54.2147,3.26898,0.00991232,0.00991232,0.00991232
8,967.946,2.1085,3.13689,2.02233,0.59092,0.11913,0.09475,0.03937,2.37914,4.64169,2.54424,0.00988079,0.00988079,0.00988079
9,1059.88,2.0824,3.10064,2.03604,0.28535,0.23975,0.15721,0.06516,2.25656,6.10608,2.29299,0.00984449,0.00984449,0.00984449
10,1183.13,2.01687,2.94126,1.97561,0.68338,0.15327,0.09323,0.02589,2.47137,12.5632,2.70998,0.00980345,0.00980345,0.00980345
11,1325.21,2.01772,2.98063,2.00957,0.37985,0.17337,0.13065,0.05508,2.16261,9.23898,2.22688,0.00975773,0.00975773,0.00975773
12,1449.95,2.00197,2.8541,1.94805,0.81277,0.15509,0.17465,0.07035,2.25474,4.75382,2.36634,0.00970736,0.00970736,0.00970736
13,1570.44,1.98675,2.92123,1.9388,0.50131,0.22495,0.19169,0.08319,1.992,3.88981,2.05745,0.00965239,0.00965239,0.00965239
14,1711.63,1.97918,2.90975,1.94323,0.64792,0.19027,0.15951,0.05573,2.32668,12.1796,2.43701,0.00959289,0.00959289,0.00959289
15,1813.43,2.01433,2.85923,1.97072,0.35983,0.29243,0.26234,0.10698,2.13379,3.58294,2.14449,0.00952889,0.00952889,0.00952889
16,1944.38,1.94815,2.7044,1.88918,0.47122,0.21239,0.24275,0.11339,2.00575,3.43162,2.0779,0.00946048,0.00946048,0.00946048
17,2042.38,1.91516,2.67057,1.87124,0.4217,0.29818,0.28396,0.12564,2.05089,4.35736,2.05027,0.00938772,0.00938772,0.00938772
18,2137.28,1.89323,2.75962,1.8431,0.62113,0.24384,0.28134,0.13969,1.95002,3.06852,1.99957,0.00931067,0.00931067,0.00931067
19,2233.7,1.95331,2.74326,1.86733,0.60591,0.28051,0.28107,0.15171,1.92128,2.99568,1.92905,0.00922942,0.00922942,0.00922942
20,2347.37,1.92972,2.66985,1.90221,0.6196,0.16784,0.17817,0.06762,2.16842,3.21953,2.17168,0.00914405,0.00914405,0.00914405
21,2462.69,1.90241,2.72414,1.8765,0.33693,0.17927,0.17699,0.0707,2.15116,3.28678,2.17963,0.00905463,0.00905463,0.00905463
22,2618.64,1.8747,2.7155,1.82765,0.56121,0.30253,0.31073,0.13057,2.15119,2.62306,2.0866,0.00896127,0.00896127,0.00896127
23,2714.99,1.8759,2.5077,1.82347,0.45115,0.39373,0.33327,0.16295,1.95431,2.65574,1.90786,0.00886404,0.00886404,0.00886404
24,2855.83,1.83361,2.46883,1.79992,0.67448,0.34361,0.40292,0.18234,1.92386,2.53107,1.90866,0.00876305,0.00876305,0.00876305
25,2956.81,1.85645,2.59272,1.8103,0.40346,0.40651,0.34813,0.17951,1.90246,2.5615,1.95605,0.00865839,0.00865839,0.00865839
26,3088.08,1.84915,2.48191,1.81237,0.74259,0.32009,0.43036,0.18168,1.95417,3.05521,1.98271,0.00855018,0.00855018,0.00855018
27,3184.01,1.8514,2.59013,1.8114,0.5171,0.40206,0.38485,0.1744,1.94357,3.14181,2.00071,0.00843851,0.00843851,0.00843851
28,3276.63,1.80771,2.46191,1.77012,0.4723,0.43434,0.36131,0.17185,1.87755,3.14363,1.96448,0.00832349,0.00832349,0.00832349
29,3370.47,1.80829,2.43543,1.78106,0.51134,0.3418,0.3221,0.12962,2.09874,2.76935,2.11796,0.00820525,0.00820525,0.00820525
30,3465.49,1.77423,2.41336,1.76296,0.61411,0.38059,0.43264,0.20907,1.86919,2.36024,1.86841,0.00808389,0.00808389,0.00808389
31,3558.34,1.79533,2.39415,1.74542,0.51038,0.47263,0.45359,0.21413,1.75615,2.40986,1.76091,0.00795954,0.00795954,0.00795954
32,3651.46,1.76991,2.41136,1.76784,0.55177,0.4077,0.41124,0.21435,1.78132,2.12202,1.77184,0.00783231,0.00783231,0.00783231
33,3743.73,1.76439,2.35564,1.75114,0.53671,0.49784,0.47422,0.23506,1.79086,2.06958,1.79703,0.00770234,0.00770234,0.00770234
34,3836.1,1.77001,2.3421,1.76093,0.47113,0.43443,0.39823,0.20568,1.76202,2.42282,1.76199,0.00756976,0.00756976,0.00756976
35,3930.29,1.72533,2.2822,1.72676,0.66905,0.34829,0.38606,0.20718,1.81082,2.15037,1.75964,0.00743468,0.00743468,0.00743468
36,4037.17,1.74861,2.30273,1.74921,0.47749,0.48784,0.41069,0.17716,2.01431,2.13856,2.00087,0.00729725,0.00729725,0.00729725
37,4155.74,1.74158,2.26326,1.70871,0.75262,0.37114,0.42883,0.2162,1.84626,2.26017,1.82457,0.00715761,0.00715761,0.00715761
38,4248.21,1.74294,2.2768,1.72041,0.73762,0.30422,0.45071,0.22114,1.8601,2.50008,1.87897,0.00701588,0.00701588,0.00701588
